Product Name,Total Sales,Rank,% of Total Sales
Xerox 1939,417.34,831,0.02
Xerox 19,415.132,832,0.02
i.Sound Portable Power - 8000 mAh,413.322,833,0.02
"Acco Flexible ACCOHIDE Square Ring Data Binder, Dark Blue, 11 1/2"" X 14"" 7/8""",410.004,834,0.02
Kensington 6 Outlet Guardian Standard Surge Protector,409.6,835,0.02
Nu-Dell Executive Frame,409.536,836,0.02
"Tennsco Lockers, Sand",407.012,837,0.02
"Safco Wire Cube Shelving System, For Use as 4 or 5 14"" Cubes, Black",406.784,838,0.02
"TOPS Carbonless Receipt Book, Four 2-3/4 x 7-1/4 Money Receipts per Page",406.464,839,0.02
Computer Printout Paper with Letter-Trim Perforations,405.95799999999997,840,0.02
"Boston Model 1800 Electric Pencil Sharpener, Gray",405.36,841,0.02
Model L Table or Wall-Mount Pencil Sharpener,402.976,842,0.02
"Tennsco Lockers, Gray",402.816,843,0.02
"Atlantic Metals Mobile 2-Shelf Bookcases, Custom Colors",400.0268,844,0.02
Lexmark X 9575 Professional All-in-One Color Printer,396.0,845,0.02
Griffin GC17055 Auxiliary Audio Cable,395.78,846,0.02
"Seth Thomas 12"" Clock w/ Goldtone Case",390.66,847,0.02
Ibico Standard Transparent Covers,390.576,848,0.02
Boston 1799 Powerhouse Electric Pencil Sharpener,389.70000000000005,849,0.02
Logitech Wireless Headset H600 Over-The-Head Design,386.90999999999997,850,0.02
Fellowes Advanced Computer Series Surge Protectors,386.75399999999996,851,0.02
"XtraLife ClearVue Slant-D Ring Binder, White, 3""",386.084,852,0.02
Cisco Desktop Collaboration Experience DX650 IP Video Phone,385.8,853,0.02
OtterBox Commuter Series Case - Samsung Galaxy S4,384.846,854,0.02
"Logitech Wireless Boombox Speaker - portable - wireless, wired",383.04,855,0.02
Memorex Micro Travel Drive 32 GB,379.70399999999995,856,0.02
Eldon Advantage Foldable Chair Mats for Low Pile Carpets,379.4,857,0.02
AT&T EL51110 DECT,377.97,858,0.02
"Executive Impressions 14""",377.90999999999997,859,0.02
Clear Mylar Reinforcing Strips,377.538,860,0.02
Globe Weis Peel & Seel First Class Envelopes,375.73199999999997,861,0.02
Tennsco Commercial Shelving,374.256,862,0.02
"Maxell Pro 80 Minute CD-R, 10/Pack",374.072,863,0.02
"Memorex 25GB 6X Branded Blu-Ray Recordable Disc, 15/Pack",373.78,864,0.02
Acco Perma 3000 Stacking Storage Drawers,373.44399999999996,865,0.02
Avery 505,372.96000000000004,866,0.02
GBC Durable Plastic Covers,369.585,867,0.02
36X48 HARDFLOOR CHAIRMAT,369.24800000000005,868,0.02
"Multi-Use Personal File Cart and Caster Set, Three Stacking Bins",368.45599999999996,869,0.02
Lenovo 17-Key USB Numeric Keypad,367.092,870,0.02
Logitech Wireless Touch Keyboard K400,364.854,871,0.02
"Eldon Executive Woodline II Desk Accessories, Mahogany",361.87199999999996,872,0.02
SanDisk Cruzer 32 GB USB Flash Drive,361.38,873,0.02
KeyTronic 6101 Series - Keyboard - Black,360.712,874,0.02
Microsoft Arc Touch Mouse,359.70000000000005,875,0.02
"Seth Thomas 14"" Putty-Colored Wall Clock",357.948,876,0.02
Holmes Odor Grabber,357.616,877,0.02
Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,357.0,878,0.02
Kingston Digital DataTraveler 32GB USB 2.0,355.95,879,0.02
Aluminum Screw Posts,354.032,880,0.02
Pizazz Global Quick File,353.29200000000003,881,0.02
Xerox 1929,351.736,882,0.02
I.R.I.S IRISCard Anywhere 5 Card Scanner,350.973,883,0.02
Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,350.20399999999995,884,0.02
Eldon Gobal File Keepers,348.22,885,0.02
"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",347.31,886,0.02
"Executive Impressions 14"" Contract Wall Clock",346.788,887,0.02
Trimflex Flexible Post Binders,346.356,888,0.02
Sterilite Officeware Hinged File Box,345.84000000000003,889,0.02
Eldon Simplefile Box Office,345.832,890,0.02
2300 Heavy-Duty Transfer File Systems by Perma,344.724,891,0.02
Fellowes Mighty 8 Compact Surge Protector,344.59000000000003,892,0.02
Eldon Cleatmat Chair Mats for Medium Pile Carpets,344.1,893,0.01
"Acco Six-Outlet Power Strip, 4' Cord Length",343.076,894,0.01
GBC VeloBind Cover Sets,342.768,895,0.01
Tops Green Bar Computer Printout Paper,342.58,896,0.01
Boston 19500 Mighty Mite Electric Pencil Sharpener,342.55,897,0.01
"Brother MFC-9340CDW LED All-In-One Printer, Copier Scanner",341.991,898,0.01
Classic Ivory Antique Telephone ZL1810,341.666,899,0.01
Letter Size File,341.41999999999996,900,0.01
Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,339.83,901,0.01
Luxo Economy Swing Arm Lamp,338.98,902,0.01
"Tenex File Box, Personal Filing Tote with Lid, Black",338.118,903,0.01
"White Business Envelopes with Contemporary Seam, Recycled White Business Envelopes",336.952,904,0.01
Wasp CCD Handheld Bar Code Reader,336.51,905,0.01
"BlueLounge Milo Smartphone Stand, White/Metallic",335.888,906,0.01
Xerox 226,334.368,907,0.01
"Square Ring Data Binders, Rigid 75 Pt. Covers, 11"" x 14-7/8""",334.368,907,0.01
"Contract Clock, 14"", Brown",334.096,909,0.01
Holmes 99% HEPA Air Purifier,333.564,910,0.01
Eldon Econocleat Chair Mats for Low Pile Carpets,331.76,911,0.01
Bulldog Vacuum Base Pencil Sharpener,330.924,912,0.01
SanDisk Ultra 16 GB MicroSDHC Class 10 Memory Card,329.946,913,0.01
Xerox 1979,328.38800000000003,914,0.01
Multimedia Mailers,325.86,915,0.01
KeyTronic E03601U1 - Keyboard - Beige,324.0,916,0.01
RCA ViSYS 25425RE1 Corded phone,323.976,917,0.01
Sauder Cornerstone Collection Library,322.192,918,0.01
Kensington K72356US Mouse-in-a-Box USB Desktop Mouse,321.846,919,0.01
Personal Creations Ink Jet Cards and Labels,321.44,920,0.01
"White Envelopes, White Envelopes with Clear Poly Window",320.25,921,0.01
Konica Minolta magicolor 1690MF Multifunction Printer,319.92,922,0.01
X-Rack File for Hanging Folders,318.378,923,0.01
"Rogers Jumbo File, Granite",317.77200000000005,924,0.01
"Seth Thomas 13 1/2"" Wall Clock",316.48400000000004,925,0.01
"Executive Impressions 13"" Clairmont Wall Clock",315.372,926,0.01
"Avery Trapezoid Extra Heavy Duty 4"" Binders",314.54999999999995,927,0.01
"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",310.206,928,0.01
"Executive Impressions 14"" Two-Color Numerals Wall Clock",308.99199999999996,929,0.01
Recycled Easel Ring Binders,308.844,930,0.01
Fiskars Softgrip Scissors,307.44,931,0.01
Acme Box Cutter Scissors,306.9,932,0.01
3M Replacement Filter for Office Air Cleaner for 20' x 33' Room,303.36,933,0.01
Eldon Fold 'N Roll Cart System,301.96799999999996,934,0.01
Eldon Shelf Savers Cubes and Bins,300.14,935,0.01
Lexmark S315 Color Inkjet Printer,299.97,936,0.01
Tensor Track Tree Floor Lamp,299.85,937,0.01
Honeywell Enviracaire Portable Air Cleaner for up to 8 x 10 Room,299.20799999999997,938,0.01
Memorex Micro Travel Drive 8 GB,299.0,939,0.01
Coloredge Poster Frame,298.2,940,0.01
Boston Home & Office Model 2000 Electric Pencil Sharpeners,297.99,941,0.01
Maxell DVD-RAM Discs,296.64,942,0.01
"Vinyl Coated Wire Paper Clips in Organizer Box, 800/Box",296.184,943,0.01
Xerox 1933,294.72,944,0.01
Stanley Contemporary Battery Pencil Sharpeners,293.7,945,0.01
Micropad Numeric Keypads,291.85400000000004,946,0.01
"DAX Contemporary Wood Frame with Silver Metal Mat, Desktop, 11 x 14 Size",291.45599999999996,947,0.01
Acco 6 Outlet Guardian Premium Plus Surge Suppressor,289.456,948,0.01
Peel-Off China Markers,287.97,949,0.01
"Acco Data Flex Cable Posts For Top & Bottom Load Binders, 6"" Capacity",287.868,950,0.01
"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",286.672,951,0.01
OtterBox Commuter Series Case - iPhone 5 & 5s,285.87,952,0.01
"Fellowes Personal Hanging Folder Files, Navy",284.716,953,0.01
Embossed Ink Jet Note Cards,284.382,954,0.01
"Iris 3-Drawer Stacking Bin, Black",284.104,955,0.01
"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages",281.892,956,0.01
Lunatik TT5L-002 Taktik Strike Impact Protection System for iPhone 5,281.658,957,0.01
Xerox 1898,280.56,958,0.01
Memorex Mini Travel Drive 32 GB USB 2.0 Flash Drive,280.0,959,0.01
"Epson WorkForce WF-2530 All-in-One Printer, Copier Scanner",279.96,960,0.01
Macally Suction Cup Mount,279.63,961,0.01
Westinghouse Clip-On Gooseneck Lamps,279.558,962,0.01
Acme Forged Steel Scissors with Black Enamel Handles,279.3,963,0.01
"Tenex Personal Filing Tote With Secure Closure Lid, Black/Frost",279.18,964,0.01
Storex Dura Pro Binders,278.586,965,0.01
Belkin 8-Outlet Premiere SurgeMaster II Surge Protectors,277.92,966,0.01
"Avery Address/Shipping Labels for Typewriters, 4"" x 2""",277.38,967,0.01
Large Capacity Hanging Post Binders,276.945,968,0.01
"Neat Ideas Personal Hanging Folder Files, Black",276.658,969,0.01
HP Standard 104 key PS/2 Keyboard,275.5,970,0.01
Stanley Bostitch Contemporary Electric Pencil Sharpeners,275.076,971,0.01
Staple magnet,272.892,972,0.01
Seidio BD2-HK3IPH5-BK DILEX Case and Holster Combo for Apple iPhone 5/5s - Black,272.88800000000003,973,0.01
Fellowes Binding Cases,271.44,974,0.01
Advantus Panel Wall Certificate Holder - 8.5x11,270.84,975,0.01
Adjustable Personal File Tote,270.24800000000005,976,0.01
Plastic Binding Combs,269.67,977,0.01
"GBC Twin Loop Wire Binding Elements, 9/16"" Spine, Black",269.394,978,0.01
"GBC White Gloss Covers, Plain Front",269.328,979,0.01
"Recycled Desk Saver Line ""While You Were Out"" Book, 5 1/2"" X 4""",268.5,980,0.01
Xerox 1938,268.24,981,0.01
Eldon Wave Desk Accessories,266.73,982,0.01
Avery 475,266.4,983,0.01
Belkin F9S820V06 8 Outlet Surge,266.336,984,0.01
Belkin Standard 104 key USB Keyboard,265.538,985,0.01
Ultra Door Pull Handle,265.104,986,0.01
Maxell 4.7GB DVD+RW 3/Pack,264.438,987,0.01
"Peel & Seel Recycled Catalog Envelopes, Brown",264.024,988,0.01
Newell 324,263.34000000000003,989,0.01
Staple remover,263.088,990,0.01
"Southworth 100% Résumé Paper, 24lb.",262.964,991,0.01
"Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany",262.752,992,0.01
File Shuttle I and Handi-File,262.668,993,0.01
Belkin 6 Outlet Metallic Surge Strip,262.449,994,0.01
"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",261.6,995,0.01
Hand-Finished Solid Wood Document Frame,260.14799999999997,996,0.01
3M Office Air Cleaner,259.8,997,0.01
Desktop 3-Pocket Hot File,259.68,998,0.01
"Recycled Interoffice Envelopes with String and Button Closure, 10 x 13",259.092,999,0.01
"GBC Standard Recycled Report Covers, Clear Plastic Sheets",258.72,1000,0.01
"Executive Impressions 10"" Spectator Wall Clock",258.72,1000,0.01
Avery Legal 4-Ring Binder,258.054,1002,0.01
Mediabridge Sport Armband iPhone 5s,257.742,1003,0.01
GBC Poly Designer Binding Covers,256.122,1004,0.01
Berol Giant Pencil Sharpener,254.85000000000002,1005,0.01
"Executive Impressions 13"" Chairman Wall Clock",253.8,1006,0.01
"Linden 10"" Round Wall Clock, Black",253.648,1007,0.01
Apple EarPods with Remote and Mic,251.91,1008,0.01
Magnifier Swing Arm Lamp,251.76000000000002,1009,0.01
Sony 32GB Class 10 Micro SDHC R40 Memory Card,251.4,1010,0.01
Hanging Personal Folder File,251.2,1011,0.01
Sony Micro Vault Click 4 GB USB 2.0 Flash Drive,250.92000000000002,1012,0.01
Avery 473,248.4,1013,0.01
Belkin OmniView SE Rackmount Kit,248.35999999999999,1014,0.01
"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",248.292,1015,0.01
Nu-Dell Leatherette Frames,246.64800000000002,1016,0.01
"Wirebound Message Books, Four 2 3/4"" x 5"" Forms per Page, 600 Sets per Book",246.582,1017,0.01
Strathmore Photo Mount Cards,245.436,1018,0.01
SAFCO Optional Arm Kit for Workspace Cribbage Stacking Chair,245.088,1019,0.01
Xerox 1890,244.7,1020,0.01
Brown Kraft Recycled Envelopes,244.512,1021,0.01
Aluminum Document Frame,244.39999999999998,1022,0.01
Fellowes Advanced 8 Outlet Surge Suppressor with Phone/Fax Protection,244.288,1023,0.01
GBC Imprintable Covers,241.56,1024,0.01
Quality Park Security Envelopes,240.764,1025,0.01
RCA H5401RE1 DECT 6.0 4-Line Cordless Handset With Caller ID/Call Waiting,239.97,1026,0.01
Logitech M510 Wireless Mouse,239.94,1027,0.01
"Belkin SportFit Armband For iPhone 5s/5c, Fuchsia",239.84,1028,0.01
Holmes HEPA Air Purifier,239.58,1029,0.01
"Avery Flip-Chart Easel Binder, Black",239.466,1030,0.01
Xerox 216,238.464,1031,0.01
Wilson Jones Leather-Like Binders with DublLock Round Rings,238.329,1032,0.01
Xerox 1982,237.536,1033,0.01
Martin-Yale Premier Letter Opener,236.99200000000002,1034,0.01
Recycled Eldon Regeneration Jumbo File,235.77599999999998,1035,0.01
Avery 50,235.564,1036,0.01
Acco D-Ring Binder w/DublLock,235.18,1037,0.01
DAX Two-Tone Silver Metal Document Frame,234.784,1038,0.01
Newell 312,234.768,1039,0.01
Spigen Samsung Galaxy S5 Case Wallet,234.462,1040,0.01
Panasonic KP-4ABK Battery-Operated Pencil Sharpener,234.24,1041,0.01
"Maxell 74 Minute CDR, 10/Pack",232.764,1042,0.01
Petty Cash Envelope,231.856,1043,0.01
"Tenex Personal Self-Stacking Standard File Box, Black/Gray",229.976,1044,0.01
Black & Decker Filter for Double Action Dustbuster Cordless Vac BLDV7210,229.88600000000002,1045,0.01
Dixon Ticonderoga Core-Lock Colored Pencils,229.572,1046,0.01
Advantus Motivational Note Cards,227.94,1047,0.01
"Adams Phone Message Book, 200 Message Capacity, 8 1/16 x 11",227.04,1048,0.01
Iris Project Case,225.036,1049,0.01
Advantus Plastic Paper Clips,225.0,1050,0.01
Cisco 8961 IP Phone Charcoal,224.937,1051,0.01
Portable Personal File Box,224.66400000000002,1052,0.01
iOttie XL Car Mount,223.88799999999998,1053,0.01
"Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book",223.44,1054,0.01
"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",219.78,1055,0.01
"Letter/Legal File Tote with Clear Snap-On Lid, Black Granite",218.416,1056,0.01
"Wirebound Message Books, Four 2 3/4 x 5 White Forms per Page",218.094,1057,0.01
Avery Non-Stick Binders,217.316,1058,0.01
"Fiskars 8"" Scissors, 2/Pack",217.224,1059,0.01
ARKON Windshield Dashboard Air Vent Car Mount Holder,216.95999999999998,1060,0.01
3M Polarizing Light Filter Sleeves,216.34,1061,0.01
"DAX Two-Tone Rosewood/Black Document Frame, Desktop, 5 x 7",216.144,1062,0.01
iOttie HLCRIO102 Car Mount,215.892,1063,0.01
Xerox 214,215.136,1064,0.01
DXL Angle-View Binders with Locking Rings by Samsill,215.109,1065,0.01
Cisco SPA 501G IP Phone,213.48,1066,0.01
Xerox 188,213.192,1067,0.01
GBC Wire Binding Strips,212.65800000000002,1068,0.01
Wilson Jones Turn Tabs Binder Tool for Ring Binders,212.08,1069,0.01
Standard Line While You Were Out Hardbound Telephone Message Book,211.00799999999998,1070,0.01
"Seth Thomas 8 1/2"" Cubicle Clock",210.912,1071,0.01
Xerox 1931,209.952,1072,0.01
"Sanford Prismacolor Professional Thick Lead Art Pencils, 36-Color Set",209.664,1073,0.01
SANFORD Major Accent Highlighters,209.56799999999998,1074,0.01
Cardinal EasyOpen D-Ring Binders,209.30599999999998,1075,0.01
Ibico Plastic and Wire Spiral Binding Combs,208.221,1076,0.01
Acco Perma 2700 Stacking Storage Drawers,208.18,1077,0.01
Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,207.896,1078,0.01
GBC Linen Binding Covers,207.566,1079,0.01
Global Enterprise Series Seating Low-Back Swivel/Tilt Chairs,207.184,1080,0.01
Epson Perfection V600 Photo Scanner,206.991,1081,0.01
JM Magazine Binder,204.72400000000002,1082,0.01
Texas Instruments TI-34 Scientific Calculator,204.507,1083,0.01
"Holmes Replacement Filter for HEPA Air Cleaner, Medium Room",203.94,1084,0.01
Kingston Digital DataTraveler 64GB USB 2.0,202.68,1085,0.01
Pyle PRT45 Retro Home Telephone,201.568,1086,0.01
Fellowes Desktop Hanging File Manager,201.45000000000002,1087,0.01
Xerox 1912,201.082,1088,0.01
Southworth 25% Cotton Antique Laid Paper & Envelopes,200.16,1089,0.01
PayAnywhere Card Reader,199.8,1090,0.01
Bionaire 99.97% HEPA Air Cleaner,199.72799999999998,1091,0.01
Laser & Ink Jet Business Envelopes,198.462,1092,0.01
Eldon 500 Class Desk Accessories,197.948,1093,0.01
"Angle-D Binders with Locking Rings, Label Holders",197.82999999999998,1094,0.01
Panasonic KP-310 Heavy-Duty Electric Pencil Sharpener,197.82,1095,0.01
"Inter-Office Recycled Envelopes, Brown Kraft, Button-String,10"" x 13"" , 100/Box",197.82,1095,0.01
"Square Credit Card Reader, 4 1/2"" x 4 1/2"" x 1"", White",197.802,1097,0.01
"Eureka Hand Vacuum, Bagless",197.72,1098,0.01
"Alliance Super-Size Bands, Assorted Sizes",197.61200000000002,1099,0.01
Avery Recycled Flexi-View Covers for Binding Systems,197.169,1100,0.01
Xerox 225,196.99200000000002,1101,0.01
"Rediform S.O.S. 1-Up Phone Message Bk, 4-1/4x3-1/16 Bk, 1 Form/Pg, 40 Messages/Bk, 3/Pk",196.98000000000002,1102,0.01
Newell 309,196.35000000000002,1103,0.01
"DAX Executive Solid Wood Document Frame, Desktop or Hang, Mahogany, 5 x 7",196.248,1104,0.01
Acme Tagit Stainless Steel Antibacterial Scissors,196.01999999999998,1105,0.01
Acme Galleria Hot Forged Steel Scissors with Colored Handles,195.05200000000002,1106,0.01
"Career Cubicle Clock, 8 1/4"", Black",194.68800000000002,1107,0.01
Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,194.54399999999998,1108,0.01
Contemporary Wood/Metal Frame,193.92,1109,0.01
Project Tote Personal File,193.61399999999998,1110,0.01
"Wilson Jones Clip & Carry Folder Binder Tool for Ring Binders, Clear",191.98,1111,0.01
Computer Printout Paper with Letter-Trim Fine Perforations,191.6,1112,0.01
Xerox 1895,191.36,1113,0.01
Avery Premier Heavy-Duty Binder with Round Locking Rings,191.352,1114,0.01
Sony 16GB Class 10 Micro SDHC R40 Memory Card,190.772,1115,0.01
Gear Head AU3700S Headset,189.654,1116,0.01
Speck Products Candyshell Flip Case,188.946,1117,0.01
Xerox 209,187.92000000000002,1118,0.01
White GlueTop Scratch Pads,186.49599999999998,1119,0.01
"Wirebound Message Book, 4 per Page",184.62,1120,0.01
"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",184.536,1121,0.01
GBC Wire Binding Combs,184.052,1122,0.01
Ibico Covers for Plastic or Wire Binding Elements,184.0,1123,0.01
"Eldon Expressions Wood Desk Accessories, Oak",183.024,1124,0.01
Xerox 1955,182.72,1125,0.01
"Fellowes Twister Kit, Gray/Clear, 3/pkg",182.508,1126,0.01
Deluxe Chalkboard Eraser Cleaner,182.49,1127,0.01
"Speediset Carbonless Redi-Letter 7"" x 8 1/2""",181.456,1128,0.01
"Fellowes Smart Surge Ten-Outlet Protector, Platinum",180.66,1129,0.01
"Perma STOR-ALL Hanging File Box, 13 1/8""W x 12 1/4""D x 10 1/2""H",180.596,1130,0.01
"Tenex Traditional Chairmats for Hard Floors, Average Lip, 36"" x 48""",180.46,1131,0.01
"Eldon Image Series Desk Accessories, Ebony",180.31,1132,0.01
Okidata B401 Printer,179.991,1133,0.01
Super Decoflex Portable Personal File,179.76,1134,0.01
"Elite 5"" Scissors",179.14,1135,0.01
"Cardinal Slant-D Ring Binder, Heavy Gauge Vinyl",179.014,1136,0.01
Xerox 1997,178.848,1137,0.01
Xerox 1892,178.296,1138,0.01
Personal File Boxes with Fold-Down Carry Handle,177.612,1139,0.01
Avery 490,177.6,1140,0.01
"Master Caster Door Stop, Brown",176.784,1141,0.01
Heavy-Duty E-Z-D Binders,176.74200000000002,1142,0.01
"Executive Impressions 12"" Wall Clock",176.7,1143,0.01
Crate-A-Files,176.58,1144,0.01
Avery 499,176.292,1145,0.01
"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",176.288,1146,0.01
Xerox 1996,176.256,1147,0.01
"DAX Value U-Channel Document Frames, Easel Back",175.938,1148,0.01
Tenex Chairmats For Use With Carpeted Floors,175.78,1149,0.01
Griffin GC36547 PowerJolt SE Lightning Charger,175.422,1150,0.01
"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",175.388,1151,0.01
Wilson Jones International Size A4 Ring Binders,174.73000000000002,1152,0.01
Xerox 1978,174.556,1153,0.01
Logitech Keyboard K120,174.24,1154,0.01
Square Credit Card Reader,173.826,1155,0.01
BIC Liqua Brite Liner,173.5,1156,0.01
GBC Plastic Binding Combs,172.692,1157,0.01
"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 200/Messages",172.672,1158,0.01
Lumber Crayons,171.39,1159,0.01
4009 Highlighters by Sanford,171.14,1160,0.01
"DAX Copper Panel Document Frame, 5 x 7 Size",171.088,1161,0.01
Xerox 202,171.072,1162,0.01
Boston 1730 StandUp Electric Pencil Sharpener,171.04,1163,0.01
Avery Heavy-Duty EZD View Binder with Locking Rings,170.984,1164,0.01
Logitech Illuminated Ultrathin Keyboard with Backlighting,170.97,1165,0.01
Euro Pro Shark Stick Mini Vacuum,170.744,1166,0.01
Nu-Dell Float Frame 11 x 14 1/2,170.62,1167,0.01
Great White Multi-Use Recycled Paper (20Lb. and 84 Bright),169.832,1168,0.01
Xerox 1894,169.776,1169,0.01
Xerox 1973,169.01600000000002,1170,0.01
Electrix 20W Halogen Replacement Bulb for Zoom-In Desk Lamp,168.84,1171,0.01
"DAX Charcoal/Nickel-Tone Document Frame, 5 x 7",168.744,1172,0.01
Hoover Commercial SteamVac,168.392,1173,0.01
Avery 486,168.13,1174,0.01
"Westinghouse Floor Lamp with Metal Mesh Shade, Black",167.93,1175,0.01
Southworth 25% Cotton Linen-Finish Paper & Envelopes,166.704,1176,0.01
Acme Softgrip Scissors,166.056,1177,0.01
Xerox 1968,165.664,1178,0.01
GBC Instant Report Kit,164.985,1179,0.01
Xerox 195,164.328,1180,0.01
Security-Tint Envelopes,163.496,1181,0.01
"GE General Use Halogen Bulbs, 100 Watts, 1 Bulb per Pack",163.332,1182,0.01
"DAX Metal Frame, Desktop, Stepped-Edge",161.92,1183,0.01
"It's Hot Message Books with Stickers, 2 3/4"" x 5""",161.32,1184,0.01
"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",160.54000000000002,1185,0.01
"Black Print Carbonless Snap-Off Rapid Letter, 8 1/2"" x 7""",160.336,1186,0.01
RCA ViSYS 25423RE1 Corded phone,159.984,1187,0.01
Acme Office Executive Series Stainless Steel Trimmers,159.402,1188,0.01
Avery 489,159.39,1189,0.01
DAX Wood Document Frame.,159.268,1190,0.01
"Eldon 400 Class Desk Accessories, Black Carbon",159.25,1191,0.01
"Ultra Door Kickplate, 8""H x 34""W",158.24,1192,0.01
Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,157.92,1193,0.01
GBC Personal VeloBind Strips,156.938,1194,0.01
Artistic Insta-Plaque,156.8,1195,0.01
Xerox 1936,155.844,1196,0.01
"Eldon Expressions Punched Metal & Wood Desk Accessories, Black & Cherry",155.708,1197,0.01
Weyerhaeuser First Choice Laser/Copy Paper (20Lb. and 88 Bright),155.51999999999998,1198,0.01
"Eldon Stackable Tray, Side-Load, Legal, Smoke",155.38,1199,0.01
Avery 503,155.25,1200,0.01
Xerox 1918,155.04,1201,0.01
Imation 30456 USB Flash Drive 8GB,154.56,1202,0.01
"Master Caster Door Stop, Large Neon Orange",154.336,1203,0.01
"Permanent Self-Adhesive File Folder Labels for Typewriters, 1 1/8 x 3 1/2, White",153.72,1204,0.01
Self-Adhesive Address Labels for Typewriters by Universal,153.51,1205,0.01
"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",152.144,1206,0.01
"Master Big Foot Doorstop, Beige",152.064,1207,0.01
Nu-Dell Oak Frame,151.656,1208,0.01
Xerox 217,151.632,1209,0.01
Southworth 100% Cotton The Best Paper,151.536,1210,0.01
"Holmes Replacement Filter for HEPA Air Cleaner, Large Room",151.062,1211,0.01
"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 10/Pack",150.67000000000002,1212,0.01
Xerox 205,150.336,1213,0.01
Acco 6 Outlet Guardian Standard Surge Suppressor,149.916,1214,0.01
Xerox 1948,149.85000000000002,1215,0.01
"Eldon Expressions Wood and Plastic Desk Accessories, Oak",149.70000000000002,1216,0.01
Sanford Liquid Accent Highlighters,149.632,1217,0.01
Ultra Door Push Plate,149.264,1218,0.01
KeyTronic KT400U2 - Keyboard - Black,148.03199999999998,1219,0.01
Anker Astro Mini 3000mAh Ultra-Compact Portable Charger,147.926,1220,0.01
Xerox 1993,147.744,1221,0.01
Kensington 6 Outlet SmartSocket Surge Protector,147.528,1222,0.01
"Holmes Cool Mist Humidifier for the Whole House with 8-Gallon Output per Day, Extended Life Filter",147.26,1223,0.01
"ACCOHIDE 3-Ring Binder, Blue, 1""",147.028,1224,0.01
"GBC Laser Imprintable Binding System Covers, Desert Sand",146.981,1225,0.01
"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",146.688,1226,0.01
Maxell 4.7GB DVD-RW 3/Pack,146.55599999999998,1227,0.01
Xerox 1905,146.448,1228,0.01
Tensor Brushed Steel Torchiere Floor Lamp,146.11399999999998,1229,0.01
Newell 315,145.912,1230,0.01
"Personal Folder Holder, Ebony",145.73000000000002,1231,0.01
"DAX Cubicle Frames, 8-1/2 x 11",145.69,1232,0.01
Xerox 220,145.15200000000002,1233,0.01
Astroparche Fine Business Paper,144.672,1234,0.01
Telescoping Adjustable Floor Lamp,143.928,1235,0.01
Xerox 203,143.856,1236,0.01
"Wilson Jones Hanging View Binder, White, 1""",143.42,1237,0.01
Avery Self-Adhesive Photo Pockets for Polaroid Photos,143.01,1238,0.01
Xerox 192,142.56,1239,0.01
Flexible Leather- Look Classic Collection Ring Binder,142.05,1240,0.01
Ibico Recycled Grain-Textured Covers,141.614,1241,0.01
Xerox 23,141.264,1242,0.01
Xerox 212,141.264,1242,0.01
"Eberhard Faber 3 1/2"" Golf Pencils",139.872,1244,0.01
"OIC Colored Binder Clips, Assorted Sizes",139.62,1245,0.01
"Advantus Push Pins, Aluminum Head",139.44,1246,0.01
Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),139.392,1247,0.01
Xerox 1903,138.736,1248,0.01
Xerox 1930,138.672,1249,0.01
Things To Do Today Pad,138.532,1250,0.01
50 Colored Long Pencils,138.176,1251,0.01
"Eldon 200 Class Desk Accessories, Smoke",138.16,1252,0.01
"Avery 3 1/2"" Diskette Storage Pages, 10/Pack",137.808,1253,0.01
Acco 3-Hole Punch,137.53199999999998,1254,0.01
Xerox 2,137.376,1255,0.01
GBC Binding covers,137.26999999999998,1256,0.01
